0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:20 +0900] "GET /dealight/search/ HTTP/1.1" 200 34659
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:21 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:21 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:22 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:23 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:24 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:24 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:25 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:25 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:25 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:25 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:43 +0900] "GET /dealight/search/ HTTP/1.1" 200 34717
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:43 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:43 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:43 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:43 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:43 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:44 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:44 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:31:45 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:10 +0900] "GET /dealight/search/ HTTP/1.1" 200 34717
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:10 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:10 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:10 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:10 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:11 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:12 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:13 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:13 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:15 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:16 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:17 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:18 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:18 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:18 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:18 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:19 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:19 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:20 +0900] "GET /dealight/search/ HTTP/1.1" 200 34719
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:20 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:20 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:20 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:20 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:21 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:21 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:21 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:22 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:32:24 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:01 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:01 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:01 +0900] "GET /dealight/search/ HTTP/1.1" 200 34722
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:01 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:01 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:02 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:03 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:03 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:03 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:04 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:33:05 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
